mask_type,comparison,distance_bin_m,n_patches,median_opt,median_baseline,median_diff_opt_minus_baseline,mean_diff_opt_minus_baseline,wilcoxon_statistic,raw_p,holm_adj_p,holm_rank_threshold,reject_holm_alpha_0_05
nonrainy,OPT_NORM_VIRTUAL_CONVEX_ILDW_INIT_LONG vs IDW,"(375,750]",82,0.03281732468803966,0.1048290766775608,-0.07745053619146347,-0.1619276093279304,0.0,3.66389094267832e-15,1.465556377071328e-14,0.0125,True
nonrainy,OPT_NORM_VIRTUAL_CONVEX_ILDW_INIT_LONG vs IDW,"(750,1500]",83,0.05133393406867981,0.20098921656608582,-0.13840347528457642,-0.2272770247241005,1.0,2.5964413596589788e-15,1.2982206798294893e-14,0.01,True
nonrainy,OPT_NORM_VIRTUAL_CONVEX_ILDW_INIT_LONG vs IDW,"(1500,3125]",86,0.07941533625125885,0.37778398394584656,-0.2872259020805359,-0.40322627459704036,0.0,7.989098714773312e-16,5.592369100341319e-15,0.0071428571428571435,True
nonrainy,OPT_NORM_VIRTUAL_CONVEX_ILDW_INIT_LONG vs IDW,"(3125,6000]",84,0.1046752780675888,0.5572673510760069,-0.47508818842470646,-0.5640103341982121,0.0,1.7106552178285207e-15,1.0263931306971124e-14,0.008333333333333333,True
nonrainy,OPT_NORM_VIRTUAL_CONVEX_ILDW_INIT_LONG vs IDW,"(6000,9000]",65,0.12408331036567688,0.6284708976745605,-0.484127938747406,-0.7755133743337865,25.0,7.629163733588736e-12,7.629163733588736e-12,0.05,True
nonrainy,OPT_NORM_VIRTUAL_CONVEX_ILDW_INIT_LONG vs ILDW,≤125,76,0.016279174713417888,0.033616712543249945,-0.015606182681410952,-0.07034107930003528,216.0,2.769751556677279e-10,2.769751556677279e-10,0.05,True
nonrainy,OPT_NORM_VIRTUAL_CONVEX_ILDW_INIT_LONG vs ILDW,"(125,375]",81,0.022736534476280212,0.046883302438709834,-0.0258930447323939,-0.060374809862853956,113.0,3.191390724175795e-13,9.574172172527385e-13,0.016666666666666666,True
nonrainy,OPT_NORM_VIRTUAL_CONVEX_ILDW_INIT_LONG vs ILDW,"(375,750]",82,0.03281732468803966,0.07251155644446677,-0.0381151594316652,-0.10359464372017123,10.0,5.295250374257818e-15,2.118100149703127e-14,0.0125,True
nonrainy,OPT_NORM_VIRTUAL_CONVEX_ILDW_INIT_LONG vs ILDW,"(750,1500]",83,0.05133393406867981,0.1463638622765277,-0.09416604855307087,-0.16052798547816138,14.0,4.163952318259456e-15,2.0819761591297282e-14,0.01,True
nonrainy,OPT_NORM_VIRTUAL_CONVEX_ILDW_INIT_LONG vs ILDW,"(1500,3125]",86,0.07941533625125885,0.35147007579411293,-0.23969121736157784,-0.34897093771770554,0.0,7.989098714773312e-16,5.592369100341319e-15,0.0071428571428571435,True
nonrainy,OPT_NORM_VIRTUAL_CONVEX_ILDW_INIT_LONG vs ILDW,"(3125,6000]",84,0.1046752780675888,0.5086694432650691,-0.4147702344448647,-0.5357694305103516,0.0,1.7106552178285207e-15,1.0263931306971124e-14,0.008333333333333333,True
nonrainy,OPT_NORM_VIRTUAL_CONVEX_ILDW_INIT_LONG vs ILDW,"(6000,9000]",65,0.12408331036567688,0.6985109817749101,-0.471700728654467,-0.8346010008570418,20.0,6.069017121248566e-12,1.2138034242497132e-11,0.025,True
nonrainy,OPT_NORM_VIRTUAL_CONVEX_CONST_INIT_LONG vs IDW,≤125,76,0.015943811275064945,0.049955449998378754,-0.031535375863313675,-0.10410433643050573,0.0,3.6060528034893936e-14,7.212105606978787e-14,0.025,True
nonrainy,OPT_NORM_VIRTUAL_CONVEX_CONST_INIT_LONG vs IDW,"(125,375]",81,0.022773995995521545,0.06592673063278198,-0.046657294034957886,-0.12411783616471439,0.0,5.362626265112966e-15,1.6087878795338896e-14,0.016666666666666666,True
nonrainy,OPT_NORM_VIRTUAL_CONVEX_CONST_INIT_LONG vs IDW,"(375,750]",82,0.03421476483345032,0.1048290766775608,-0.07661819085478783,-0.1613702832420109,1.0,3.801702090688672e-15,1.520680836275469e-14,0.0125,True
nonrainy,OPT_NORM_VIRTUAL_CONVEX_CONST_INIT_LONG vs IDW,"(750,1500]",83,0.05309373140335083,0.20098921656608582,-0.13725037686526775,-0.2271080315580307,2.0,2.692839435394259e-15,1.3464197176971297e-14,0.01,True
nonrainy,OPT_NORM_VIRTUAL_CONVEX_CONST_INIT_LONG vs IDW,"(1500,3125]",86,0.07592859864234924,0.37778398394584656,-0.28537291660904884,-0.4055450451001085,0.0,7.989098714773312e-16,5.592369100341319e-15,0.0071428571428571435,True
nonrainy,OPT_NORM_VIRTUAL_CONVEX_CONST_INIT_LONG vs IDW,"(3125,6000]",84,0.11497925966978073,0.5572673510760069,-0.4600960686802864,-0.5665363940760028,0.0,1.7106552178285207e-15,1.0263931306971124e-14,0.008333333333333333,True
